t,x,y,z,dx_dt,dy_dt,dz_dt
5.600560056005601250e-01,-5.749735452194614238e-01,9.507461639279005672e-01,3.150068270409256410e-02,-9.822468466319931313e-01,-3.848243124338812660e-01,2.334049375466912268e-03
5.700570057005700519e-01,-5.847776836752522911e-01,9.468445936814030572e-01,3.152179402573627304e-02,-9.783663877071393511e-01,-3.954087649389717019e-01,1.892532357644777230e-03
5.800580058005800899e-01,-5.945424630098384844e-01,9.428372584144512070e-01,3.153862981691375744e-02,-9.743758882313650060e-01,-4.059750113269482430e-01,1.478755392288172432e-03
5.900590059005901278e-01,-6.042667850394369822e-01,9.387243458954621644e-01,3.155145953803357300e-02,-9.702758054334957860e-01,-4.165219158603445382e-01,1.091181614859215721e-03
6.000600060006000547e-01,-6.139495560717018741e-01,9.345060552283022126e-01,3.156053801231596678e-02,-9.660665932406181655e-01,-4.270483450260413871e-01,7.283550277535355555e-04
6.100610061006100926e-01,-6.235896869262014253e-01,9.301825968393673261e-01,3.156610596557998805e-02,-9.617487028049472864e-01,-4.375531675583279601e-01,3.888978596387482334e-04
6.200620062006201305e-01,-6.331860929677834982e-01,9.257541924658736487e-01,3.156839049702818423e-02,-9.573225829629018468e-01,-4.480352544746087906e-01,7.150832684477137491e-05
6.300630063006300574e-01,-6.427376940716195142e-01,9.212210751302343237e-01,3.156760589289771962e-02,-9.527886810231320780e-01,-4.584934790455726383e-01,-2.250438084797357075e-04
6.400640064006400953e-01,-6.522434145278643847e-01,9.165834891020961939e-01,3.156395474877644880e-02,-9.481474438508726843e-01,-4.689267167074451237e-01,-5.019236893706868763e-04
6.500650065006501332e-01,-6.617021830797610304e-01,9.118416898839173390e-01,3.155762840418428056e-02,-9.433993182881016404e-01,-4.793338451029775515e-01,-7.602335117189995550e-04
6.600660066006600601e-01,-6.711129329831095891e-01,9.069959441993201699e-01,3.154880726455262102e-02,-9.385447514638728395e-01,-4.897137441432455329e-01,-1.001013983382675887e-03
6.700670067006700981e-01,-6.804746019956402492e-01,9.020465299672837389e-01,3.153766148003846193e-02,-9.335841914473221870e-01,-5.000652960021835236e-01,-1.225248079721630301e-03
6.800680068006801360e-01,-6.897861323175035198e-01,8.969937362666553504e-01,3.152435188381776110e-02,-9.285180881504730976e-01,-5.103873850641724719e-01,-1.433866497515895455e-03
6.900690069006900629e-01,-6.990464706400143502e-01,8.918378633188932536e-01,3.150903035848186262e-02,-9.233468936773751023e-01,-5.206788979762356773e-01,-1.627749508732428962e-03
7.000700070007001008e-01,-7.082545682219424377e-01,8.865792224746079642e-01,3.149184005555402677e-02,-9.180710625301620187e-01,-5.309387237270208892e-01,-1.807727897718852672e-03
7.100710071007101387e-01,-7.174093808989054910e-01,8.812181361870173868e-01,3.147291596537147434e-02,-9.126910521523888820e-01,-5.411657536615019914e-01,-1.974586160417818315e-03
7.200720072007200656e-01,-7.265098690688573946e-01,8.757549379797912037e-01,3.145238559683766200e-02,-9.072073235766289212e-01,-5.513588814728991316e-01,-2.129066443836397093e-03
7.300730073007301035e-01,-7.355549977463528011e-01,8.701899724262960323e-01,3.143036930864630263e-02,-9.016203417349423210e-01,-5.615170032610935502e-01,-2.271870285272287182e-03
7.400740074007401414e-01,-7.445437366430720516e-01,8.645235951324816703e-01,3.140698050525773249e-02,-8.959305756377393681e-01,-5.716390176165757619e-01,-2.403659502029781292e-03
7.500750075007500683e-01,-7.534750602004772757e-01,8.587561727098849129e-01,3.138232606954211718e-02,-8.901384987794270787e-01,-5.817238256585002265e-01,-2.525058620869324866e-03
7.600760076007601063e-01,-7.623479475928941484e-01,8.528880827425073807e-01,3.135650695268077381e-02,-8.842445896951881545e-01,-5.917703310443926945e-01,-2.636658349338905083e-03
7.700770077007701442e-01,-7.711613827907695118e-01,8.469197137630947170e-01,3.132961844601991203e-02,-8.782493322091146082e-01,-6.017774400381505906e-01,-2.739017025453427401e-03
7.800780078007800711e-01,-7.799143546549236472e-01,8.408514652337206741e-01,3.130175028804860204e-02,-8.721532155217692761e-01,-6.117440616081795124e-01,-2.832661017350024402e-03
7.900790079007901090e-01,-7.886058569800055151e-01,8.346837475163956244e-01,3.127298703572946315e-02,-8.659567345521250736e-01,-6.216691074767264347e-01,-2.918086845293960119e-03
8.000800080008001469e-01,-7.972348885205847724e-01,8.284169818396427409e-01,3.124340852209132186e-02,-8.596603903617340281e-01,-6.315514921526561576e-01,-2.995763886033092627e-03
8.100810081008100738e-01,-8.058004530596273307e-01,8.220516002712691117e-01,3.121309009165358986e-02,-8.532646903629227397e-01,-6.413901330053735084e-01,-3.066135659670898850e-03
8.200820082008201117e-01,-8.143015595062759182e-01,8.155880456950823643e-01,3.118210268146626857e-02,-8.467701483765486259e-01,-6.511839503672594009e-01,-3.129620126560511695e-03
